worker_id,name,day,store_id_origin,store_id_destination,store_destination_name,sales,arrival_time,departure_time,service_min,trip_time
w_id_7,,tue,s_id_111,s_id_51,"HEB, Guadalupe Livas",2281813.0,13:05,16:35,210,10
w_id_2,,tue,HOME_w_id_2,s_id_58,"Hiper, Contry",2579065.0,08:35,12:05,210,35
w_id_2,,tue,s_id_58,s_id_79,"Julio Cepeda, Contry Mty",2318633.0,13:10,16:40,210,5
w_id_2,,sat,HOME_w_id_2,s_id_58,"Hiper, Contry",2579065.0,08:35,12:05,210,35
w_id_8,,tue,HOME_w_id_8,s_id_106,"Supercenter, Apodaca Norte",2549863.0,08:20,11:50,210,20
w_id_8,,tue,s_id_106,s_id_43,"HEB, Concordia",2145149.0,13:00,16:30,210,10
w_id_8,,thu,HOME_w_id_8,s_id_106,"Supercenter, Apodaca Norte",2549863.0,08:20,11:50,210,20
w_id_8,,thu,s_id_106,s_id_69,"Hiper, Sendero Apodaca",2409694.0,13:00,16:30,210,10
w_id_8,,sat,HOME_w_id_8,s_id_69,"Hiper, Sendero Apodaca",2409694.0,08:20,11:50,210,20
w_id_11,,sat,HOME_w_id_11,s_id_32,"Del Sol, San Nicolás Citadel",2283147.0,08:30,12:00,210,30
w_id_2,,fri,HOME_w_id_2,s_id_23,"Del Sol, (Mty.) Padre Mier",2141225.0,08:35,12:05,210,35
w_id_2,,fri,s_id_23,s_id_95,"Liverpool, Centro",2221154.0,13:05,16:35,210,0
w_id_1,,thu,HOME_w_id_1,s_id_8,"Bodega Aurrera, Huinala Monterrey",2032907.0,08:20,11:50,210,20
w_id_1,,thu,s_id_8,s_id_71,"Hiper, Sendero La Fe",1913624.0,13:00,16:30,210,10
w_id_10,,thu,HOME_w_id_10,s_id_72,"Hiper, Sendero Lincoln",2032346.0,08:25,11:55,210,25
w_id_10,,thu,s_id_72,s_id_15,"Bodega Aurrera, Solidaridad",1351758.0,13:10,16:40,210,15
